ID;Species;Interaction;Longitude;Latitude;Year_collect
221;Eulaema_cingulata;host;-48.231389;-18.859722;2013
222;Eulaema_cingulata;host;-48.200833;-18.891111;2013
223;Eulaema_cingulata;host;-48.206111;-18.950833;2013
224;Eulaema_cingulata;host;-48.394722;-19.167778;2013
225;Eulaema_cingulata;host;-48.146111;-19.144167;2013
227;Eulaema_cingulata;host;-39.088333;-13.685278;2013
228;Eulaema_cingulata;host;-39.289167;-13.843333;2013
229;Eulaema_cingulata;host;-39.456667;-13.913889;2013
230;Eulaema_cingulata;host;-39.4625;-13.897778;2013
234;Eulaema_cingulata;host;-40.064889;-19.1515;2013
243;Eulaema_cingulata;host;-45.45;-22.916;2015
244;Eulaema_cingulata;host;-45.873;-23.376;2015
250;Eulaema_cingulata;host;-46.011094;-1.250261;2014
255;Eulaema_cingulata;host;-47.8475;-21.221667;2019
259;Eulaema_cingulata;host;-43.533333;-19.266667;2017
261;Eulaema_cingulata;host;-41.8878;-20.936456;2020
262;Eulaema_cingulata;host;-41.854842;-20.933833;2020
265;Eulaema_cingulata;host;-41.836561;-20.917528;2020
266;Eulaema_cingulata;host;-41.803986;-20.904003;2020
268;Eulaema_cingulata;host;-41.813269;-20.535319;2020
270;Eulaema_cingulata;host;-41.704475;-20.786058;2020
271;Eulaema_cingulata;host;-41.657764;-20.744566;2020
272;Eulaema_cingulata;host;-41.660581;-20.803783;2020
273;Eulaema_cingulata;host;-41.61411;-20.774899;2020
274;Eulaema_cingulata;host;-41.553064;-20.767808;2020
275;Eulaema_cingulata;host;-41.508543;-20.755771;2020
276;Eulaema_cingulata;host;-43.340361;-18.096528;2011
277;Eulaema_cingulata;host;-43.346139;-18.090194;2013
278;Eulaema_cingulata;host;-43.346139;-18.090194;2014
279;Eulaema_cingulata;host;-50.036789;-9.979253;2020
280;Eulaema_cingulata;host;-48.166667;-10;2020
281;Eulaema_cingulata;host;-85.5;10.75;2018
282;Eulaema_cingulata;host;-85.5;10.75;2019
283;Eulaema_cingulata;host;NA/confirmar;NA/confirmar;2021
284;Eulaema_cingulata;host;-42.341389;-3.738056;2009
285;Eulaema_cingulata;host;-71.391753;-12.789882;2015
286;Eulaema_cingulata;host;-48.75;-2.5;2015
287;Eulaema_cingulata;host;-67.85887;-9.969939;2016
288;Eulaema_cingulata;host;-67.85038;-9.953301;2016
289;Eulaema_cingulata;host;-67.80673;-9.93425;2016
290;Eulaema_cingulata;host;-67.79333;-9.954445;2016
291;Eulaema_cingulata;host;-67.77223;-10.03375;2016
292;Eulaema_cingulata;host;-67.87136;-9.955621;2016
293;Eulaema_cingulata;host;-67.82921;-9.946892;2016
